   170/399        0G   0.01593  0.008568         0   0.02449        10       640         1         1    0.9957    0.8694  0.007982  0.002757         0
   171/399        0G   0.01699  0.008815         0    0.0258        18       640         1         1    0.9957    0.9105  0.006846  0.002673         0
   172/399        0G   0.01636  0.008919         0   0.02528         9       640         1         1    0.9957    0.9162  0.007484   0.00267         0
   173/399        0G   0.01756  0.009323         0   0.02689         8       640         1         1    0.9957    0.9069  0.006925  0.002706         0
   174/399        0G   0.01588  0.009561         0   0.02544         9       640         1         1    0.9956    0.8488  0.007873  0.002889         0
   175/399        0G   0.01793  0.008867         0    0.0268         7       640         1         1    0.9956    0.8913  0.006546  0.002785         0
   176/399        0G   0.01548  0.007795         0   0.02327        11       640         1         1    0.9956    0.8584  0.008884  0.002744         0
   177/399        0G   0.01494   0.00794         0   0.02288        18       640         1         1    0.9956    0.8874  0.006904  0.002679         0
   178/399        0G   0.01423  0.009286         0   0.02352        16       640         1         1    0.9956    0.8864  0.006658  0.002639         0
   179/399        0G   0.01522  0.008129         0   0.02335        13       640         1         1    0.9957    0.9129  0.006663  0.002587         0
   180/399        0G   0.01813  0.009371         0    0.0275        15       640         1         1    0.9957    0.9022  0.006949  0.002629         0
   181/399        0G   0.01604  0.008748         0   0.02479        11       640         1         1    0.9958    0.9099  0.006352  0.002656         0
   182/399        0G    0.0176  0.008122         0   0.02572        10       640         1    0.9999    0.9959    0.8783   0.00747   0.00269         0
   183/399        0G   0.01517  0.007076         0   0.02225         6       640         1    0.9999    0.9958     0.885  0.006112  0.002651         0
   184/399        0G   0.01645  0.008373         0   0.02483        13       640         1         1    0.9958    0.8928  0.007858  0.002721         0
   185/399        0G   0.01768   0.00781         0   0.02549        15       640    0.9999         1    0.9957     0.915  0.005703  0.002665         0
   186/399        0G   0.01492  0.007559         0   0.02248        13       640         1         1    0.9957    0.9128  0.007819  0.002643         0
   187/399        0G   0.01606  0.007842         0    0.0239         8       640    0.9999         1    0.9958    0.8957    0.0069  0.002663         0
   188/399        0G   0.01687  0.007932         0   0.02481        11       640         1    0.9999    0.9957    0.8846   0.00607  0.002638         0
   189/399        0G   0.01402  0.007122         0   0.02114        10       640    0.9999         1    0.9956    0.9132  0.005062  0.002573         0
   190/399        0G   0.01572  0.008601         0   0.02432        20       640    0.9999         1    0.9956    0.9133  0.006026  0.002715         0
   191/399        0G   0.01352  0.009232         0   0.02275        12       640         1         1    0.9956     0.922  0.004901  0.002647         0
   192/399        0G   0.01447  0.008301         0   0.02277        13       640         1         1    0.9957    0.8318  0.008314  0.003054         0
